Produto,Região,Cidade,Total_Vendas,Total_Quantidade,Total_Lucro,Num_Transacoes,Latitude,Longitude
Headphone,Leste,Desconhecida,408844,1066,152084.05,71,,
Headset,Leste,Desconhecida,414106,1070,119023.26,70,,
Memória RAM,Leste,Desconhecida,368501,854,146986.15,54,,
Mouse,Leste,Desconhecida,374766,892,118115.42,64,,
SSD,Leste,Desconhecida,442184,1222,142487.99,72,,
Teclado,Leste,Desconhecida,519514,1270,191051.15,86,,
Webcam,Leste,Desconhecida,473470,1327,168245.56,74,,
Headphone,Norte,Belém,112969,334,29099.44,18,-1.453761,-48.49507
Headphone,Norte,Boa Vista,60513,94,28188.37,7,2.8129,-60.673368
Headphone,Norte,Macapá,104184,240,45394.77,15,0.023746,-51.066731
Headphone,Norte,Manaus,58502,185,24049.47,10,-3.112806,-60.018018
Headphone,Norte,Palmas,80711,167,41222.29,12,-10.251912,-48.325074
Headphone,Norte,Porto Velho,66913,215,31990.02,11,-8.751011,-63.901153
Headphone,Norte,Rio Branco,44830,202,12814.71,10,-9.973324,-67.84099
Headset,Norte,Belém,51357,196,-7032.23,13,-1.459539,-48.494039
Headset,Norte,Boa Vista,39061,129,-9213.1,9,2.831893,-60.669824
Headset,Norte,Macapá,87506,181,41048.48,15,0.02909,-51.057378
Headset,Norte,Manaus,60660,148,6770.89,10,-3.11855,-60.043519
Headset,Norte,Palmas,45515,126,12734.15,8,-10.258356,-48.321973
Headset,Norte,Porto Velho,41306,93,23319.52,8,-8.759956,-63.897871
Headset,Norte,Rio Branco,59881,251,11743.96,14,-9.972978,-67.821154
Memória RAM,Norte,Belém,34806,108,2648.0,7,-1.458186,-48.496334
Memória RAM,Norte,Boa Vista,47007,144,14371.09,9,2.821135,-60.675581
Memória RAM,Norte,Macapá,56345,168,8634.17,11,0.032249,-51.059855
Memória RAM,Norte,Manaus,57006,205,7460.08,12,-3.126514,-60.031769
Memória RAM,Norte,Palmas,49027,167,15596.26,9,-10.247515,-48.333982
Memória RAM,Norte,Porto Velho,59099,121,20186.15,8,-8.785837,-63.902449
Memória RAM,Norte,Rio Branco,46029,76,9946.02,6,-9.965354,-67.833761
Mouse,Norte,Belém,39281,87,19063.91,6,-1.430667,-48.477074
Mouse,Norte,Boa Vista,59432,136,17826.81,10,2.829874,-60.670273
Mouse,Norte,Macapá,74431,168,23737.71,13,0.042801,-51.079811
Mouse,Norte,Manaus,62094,156,31306.06,11,-3.126138,-60.017535
Mouse,Norte,Palmas,66959,191,18505.74,11,-10.250403,-48.322722
Mouse,Norte,Porto Velho,53520,159,16206.07,8,-8.772913,-63.886496
Mouse,Norte,Rio Branco,62076,112,27932.19,8,-9.97605,-67.830012
SSD,Norte,Belém,55640,193,3724.96,11,-1.446919,-48.477848
SSD,Norte,Boa Vista,35992,102,12868.05,8,2.816726,-60.679098
SSD,Norte,Macapá,58291,200,25241.24,11,0.030902,-51.06947
SSD,Norte,Manaus,64690,211,-7172.19,14,-3.119313,-60.030303
SSD,Norte,Palmas,53163,96,22969.99,8,-10.255491,-48.324397
SSD,Norte,Porto Velho,41600,106,12872.07,7,-8.756991,-63.922785
SSD,Norte,Rio Branco,27055,72,17022.4,6,-9.989285,-67.808582
Teclado,Norte,Belém,99695,237,32427.75,15,-1.445218,-48.485705
Teclado,Norte,Boa Vista,49358,105,22088.34,8,2.823628,-60.678264
Teclado,Norte,Macapá,49706,195,1592.95,12,0.039893,-51.064884
Teclado,Norte,Manaus,86991,126,36795.38,13,-3.119613,-60.016502
Teclado,Norte,Palmas,50704,156,19334.64,10,-10.259475,-48.337363
Teclado,Norte,Porto Velho,65925,149,20685.57,11,-8.760549,-63.90352
Teclado,Norte,Rio Branco,39431,77,20522.65,5,-9.99223,-67.826248
